Alessandro_Volta,How many years ago was it when Volta married the daughter of Count Ludovico Peregrini , Teresa ,hard,S09_set4_a10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is the electrolyte sulphuric acid?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is volta buried in the city  of Como?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Was his 1800  paper written in French?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Before 1796, was Lombardy ruled by Austria?,S09_set4_a10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Did he receive the Society`s 1794 Copley Medal?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Did he experiment with individual cells?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,When did lombardy come under Napoleon`s rule?,From 1796 to 1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Where did he publish his invention of the Voltaic pile battery?,the Philosophical Transactions of the Royal Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Did he become professor of experimental physics at the University of Pavia?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is it true that his passion been always the study of electricity?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,His passion been always the study of what?,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is it true that Volta married the daughter of Count Ludovico Peregrini?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alessandro_Volta,Is it true that he published his invention of the Voltaic pile battery?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Was Amedeo Avogadro Italian?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Did Amedeo Avogadro graduate?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Did Avogadro live in England?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Where was Avogadro a professor of physics?,University of Turin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,How many children did Avogadro have?,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,How many children did Avogadro have?,six,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Avogadro most noted for?,contributions to the theory of molarity and molecular weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Avogadro's number?,6.02214199x10 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,In what year did Avogadro stop teaching at Turin University?,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What subject did Avogadro study first?,ecclesiastical law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What was Amedeo Avogadro`s birthplace?,Turin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What was Amedeo Avogadro`s profession?,professor of physics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,How many years ago was it when he became a professor of physics at the University of Turin?,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Amedeo Avogadro`s first name?,Amedeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Amedeo Avogadro`s last name?,Avogadro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Was Amedeo Avogadro born in North America?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Was King Victor  Emmanuel  III there to pay  homage  to Avogadro?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,In fact, was Avogadro `s  famous  1811  paper written in French . ),S09_set4_a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Is avogadro `s  number commonly used to compute  the results  of chemical reactions?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Hence, can relative molecular  masses be calculated from the masses  of gas samples?,S09_set4_a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Did he publish his work?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Did Avogadro submit his poem?,Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Is it true that loschmidt calculated first the value of Avogadro number?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Loschmidt calculated first the value of what?,Avogadro's number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Hence , can relative molecular masses be calculated from the masses of gas samples ?,S09_set4_a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,"Can the title of this famous 1811 paper be roughly translated into English as ""essay on determining the Relative Masses of the Elementary Molecules of Bodies"" ?",Yes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,What is Amedeo Avogadro?,A person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedeo_Avogadro,Where is Amedeo Avogadro from?,Italy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,When did Anders Celcius publish his observations on the aurora borealis?,1733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,He determined the dependence of the boiling of water with atmospheric pressure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What did Anders Celsius determine about the boiling of water?,dependence with atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Which temperature scale did Celsius propose?,Celcius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Which temperature scale did Celsius propose?, the Celsius temperature scale ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What is the boiling point of water dependent on?,atmospheric pressure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Where was Celsius born?,Uppsala in Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Where was Celsius born?,Uppsala,S09_set4_a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,"Whad did Celsius report in his paper ""Observations of two persistent degrees on a thermometer""?",the freezing point is independent of latitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,How old was Celsius when he died?,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,How old was Celsius when he died?,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What is temperature would water have to be to be halfway between its standard boiling and freezing point?,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,The scale was reversed by Carolus Linnaeus. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What is the difference between Celsius' original temperature scale and the one we use today?,scale was reversed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What was Anders Celsius`s profession?,professor of astronomy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,How old was Anders Celsius when he died?,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,What is Anders Celsius`s last name?,Celsius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Was celsius born in Uppsala  in Sweden?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Is The Celsius  crater  on the Moon named after him?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Was Anders Celsius  ( November 27 ,  1701  April 25 ,easy,S09_set4_a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Was Anders Celsius the first  to perform  and  publish  careful experiments  aiming at the definition  of an international  temperature  scale  on scientific grounds?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Was he professor at Uppsala University?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,Is it true that he published a collection of 316 observations?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anders_Celsius,He published a collection of what?,observations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Pronouns in which location are marked for person , number and gender?,S09_set5_a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Can syllables begin with a vowel?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Are calligraphers held in great esteem?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Have many European languages borrowed numerous words from it?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Are the most active in Damascus and Cairo?,(bad question),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Do arabs consider literary Arabic?,(bad question),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Was Arabic vehicle in science?,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Is it true that the sociolinguistic situation of Arabic provides a prime example of the linguistic phenomenon?,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,The sociolinguistic situation of Arabic provides a prime example of what?,the linguistic phenomenon of diglossia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Is arabic source of vocabulary?,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Is arabic language of the Qur an?,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Is it true that most speak Arabic as their native language?,NULL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,Are pronouns in Literary Arabic marked for person , number and gender ?,S09_set5_a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic_language,However , are non-human plural nouns grammatically considered to be feminine singular ?,S09_set5_a3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,Is a bee an insect?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,Are bees related to ants?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,Have managed populations of European honey bees experienced substantial declines?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,Where do bees live?,in colonies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,When do bumblebee colonies reach peak population?,mid to late summer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,What do people commonly call cleptoparasitic bees?,cuckoo bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,How did vespoid wasps evolve?,from predatory ancestors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,What do humans use bees for?,honey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bee,Why do honey bee queens continue to lay eggs during the foraging season?,to replace daily casualties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,"Does Beijing mean ""northern capital""?",yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,Are the caves of Dragon Bone Hill near the village of Zhoukoudian in Fangshan District?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,Are hutongs disappearing?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,When did Beijing host the Olympic Games?,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,When was the An Shi Rebellion launched?,in 755 AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,In 1949, where did Communist forces enter without a fight?,S09_set3_a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,When did Yuan Shikai die?,1916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,Where does air pollution in Beijing come from?,surrounding cities and provinces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,As of August 1st,2006,medium,S09_set3_a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,What is the name of a university (or similar institution for imparting higher education) in Beijing?,Tsinghua University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beijing,Are famous middle  schools  in Beijing :?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Was Blaise Pascal a mathematician of the first order?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Was Blaise Pascal a mathematician of the first order?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Could Blaise Pascal move without crutches?,He could move without crutches until a paralytic attack in 1647.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Could Blaise Pascal move without crutches?,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Has the name Pascal been given to the SI unit of pressure?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Has the name Pascal been given to the SI unit of pressure?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,From what did Pascal suffer throughout his life?,ill health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,From what did Pascal suffer throughout his life?,poor health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,What did Pascal argue was as perfect as possible?,the procedure used in geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,What is the best physician?,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Who was the eldest sibling?,Gilberte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Aside from the Provincial Letters' religious influence, were they popular as a literary work?,S09_set4_a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Aside from the Provincial Letters' religious influence, were they popular as a literary work?,S09_set4_a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blaise_Pascal,Of whose continual poor health was the cause never precisely determined?,Blaise Pascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is the violin cello a bowed string instrument?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is the violin cello a bowed string instrument?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is the purfling just for decoration?,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Are the z-holes used as access points to the interior of the cello? ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Are the z-holes used as access points to the interior of the cello? ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What does violincello mean?,"Violincello means ""little violene"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What are the two materials that bows are made of traditionally? ,Traditionally,S09_set2_a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What is used to tune a cello?,Pegs are used to tune a cello.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What is used to tune a cello?,the pegs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics can produce any notes above middle C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Which harmonics can produce any notes above middle C? ,Artificial harmonics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,"Who referred to the cello as �basso de viola da braccio""?","Monteverdi referred to the cello as ""basso de viola da braccio"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,"Who referred to the cello as �basso de viola da braccio""?",Monteverdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Where is the violincello held?,The violincello is held on the shoulder.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Where is the violincello held?,on the shoulder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is there cello in performances by Rihanna?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is there cello in performances by Rihanna?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Are cellos constructed with glue?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Are cellos constructed with glue?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is the cello a stringed instrument?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Is the cello a stringed instrument?,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What is cello an abbreviation of?,violoncello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What is cello an abbreviation of?,violoncello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What position is used to play the cello?,a gamba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What position is used to play the cello?,seated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What is a person who plays the cello called?,cellist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What is a person who plays the cello called?,cellist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,Why is there purling on a cello?,to stop cracks from forming ****misspelled****,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,When did the first educational works appear for the cello?,the 18th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,When did the first educational works appear for the cello?,18th century,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cello,What cello manufacturer should I buy from if I want to play outside?,Luis & Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a member of the National Institute?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb a member of the National Institute?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Did Charles-Augustin de Coulomb find any relationship between electric charges and magnetic poles? ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Was Charles-Augustin de Coulomb's father's family in Montpellier? ,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,Charles-Augustin de Coulomb died in Paris.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Where did Charles-Augustin de Coulomb die?,Paris,S09_set4_a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Charles-Augustin de Coulomb was permanently stationed in Paris in 1781.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,When was Charles-Augustin de Coulomb permanently stationed in Paris?,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,What contribution did Charles-Augustin de Coulomb make to the field of geotechnical engineering?,Retaining wall design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,The construction of Fort Bourbon took place in Martinique.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,Where did the construction of Fort Bourbon take place?,Martinique ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Augustin_de_Coulomb,What is the definition of the electrostatic force of attraction and repulsion? ,Coulomb's law is the definition of the electrostatic force of attraction and repulsion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
